id,src_legal,tgt_plain
623,"The parties hereby agree that no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and this provision shall be binding upon all successors and assigns.",Agreeing to ignore one violation does not mean future violations are forgiven.
624,"Where a party fails to perform its obligations as required, the party in default shall be afforded a reasonable opportunity to cure such default, without prejudice to any other remedy available at law or in equity.",The side that made a mistake gets a fair chance to fix the problem.
625,"The parties hereby agree that all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, and this provision shall be binding upon all successors and assigns.",All required notices must be written and sent by certified mail or a well-known delivery service.
626,"The obligations set forth in this section shall survive termination of this Agreement, and the laws of the State of New York shall govern the interpretation and enforcement of this Agreement.",New York law controls how this contract is read and enforced.
627,"To the fullest extent permitted by law, any assignment of this Agreement without the prior written consent of the other party shall be null and void, and the limitations of liability specified in this section shall apply.",You cannot transfer this contract to someone else without written permission.
628,"Except as otherwise expressly provided in this Agreement, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, and each party shall bear its own costs and expenses.",Both sides agree that deadlines in the contract really matter.
629,"For the avoidance of doubt, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, and no party shall rely on any oral representation to the contrary.",The employee must follow the employer's rules and policies.
630,"Notwithstanding any other term contained herein, the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, unless otherwise agreed to in a subsequent written amendment.",The customer has thirty days to pay a correct bill in full.
631,"If any provision of this Agreement is determined to be invalid or unenforceable, interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, and the remaining provisions shall remain in full force and effect.",Late payments will collect interest up to the legal limit.
632,"If any provision of this Agreement is determined to be invalid or unenforceable, the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, and the remaining provisions shall remain in full force and effect.",The contractor has to get any licenses or permits needed to do the work.
633,"Subject to applicable law and regulatory requirements, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The damage limits do not apply if someone acts with gross negligence or on purpose.
634,"The obligations set forth in this section shall survive termination of this Agreement, and the data subject shall have the right to access, correct, or delete personal data processed by the controller.",The person whose data is used can see it and ask to correct or delete it.
635,"In the event of a dispute arising under this Agreement, the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and such dispute shall be resolved in accordance with the procedures set forth herein.",The tenant needs the landlord's written permission before changing the structure of the space.
636,"Notwithstanding any other term contained herein, the insurance coverage required under this Agreement shall name the other party as an additional insured, unless otherwise agreed to in a subsequent written amendment.",The required insurance must list the other party as also being covered.
637,"Notwithstanding any other term contained herein, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, unless otherwise agreed to in a subsequent written amendment.",The company can choose to end the contract for any reason with thirty days' written notice.
638,"To the fullest extent permitted by law, the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, and the limitations of liability specified in this section shall apply.",Both sides must try to reduce the harm caused by a breach.
639,"Subject to applicable law and regulatory requirements, any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Any dispute about this contract will be decided by arbitration instead of a regular court.
640,"For the avoidance of doubt, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, and no party shall rely on any oral representation to the contrary.",The shareholder lets the company vote their shares as promised in the agreement.
641,"If any provision of this Agreement is determined to be invalid or unenforceable, the nonbreaching party may seek specific performance or injunctive relief, and the remaining provisions shall remain in full force and effect.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
642,"The parties hereby agree that each party shall maintain the confidentiality of proprietary information disclosed hereunder, and this provision shall be binding upon all successors and assigns.",Each side must keep shared confidential information private.
643,"For the avoidance of doubt, no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and no party shall rely on any oral representation to the contrary.",Agreeing to ignore one violation does not mean future violations are forgiven.
644,"The parties hereby agree that the party in default shall be afforded a reasonable opportunity to cure such default, and this provision shall be binding upon all successors and assigns.",The side that made a mistake gets a fair chance to fix the problem.
645,"Notwithstanding any other term contained herein, all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, unless otherwise agreed to in a subsequent written amendment.",All required notices must be written and sent by certified mail or a well-known delivery service.
646,"The obligations set forth in this section shall survive termination of this Agreement, and the laws of the State of New York shall govern the interpretation and enforcement of this Agreement.",New York law controls how this contract is read and enforced.
647,"If any provision of this Agreement is determined to be invalid or unenforceable, any assignment of this Agreement without the prior written consent of the other party shall be null and void, and the remaining provisions shall remain in full force and effect.",You cannot transfer this contract to someone else without written permission.
648,"Subject to applicable law and regulatory requirements, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Both sides agree that deadlines in the contract really matter.
649,"If any provision of this Agreement is determined to be invalid or unenforceable, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, and the remaining provisions shall remain in full force and effect.",The employee must follow the employer's rules and policies.
650,"Where a party fails to perform its obligations as required, the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, without prejudice to any other remedy available at law or in equity.",The customer has thirty days to pay a correct bill in full.
651,"The obligations set forth in this section shall survive termination of this Agreement, and interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law.",Late payments will collect interest up to the legal limit.
652,"Except as otherwise expressly provided in this Agreement, the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, and each party shall bear its own costs and expenses.",The contractor has to get any licenses or permits needed to do the work.
653,"Except as otherwise expressly provided in this Agreement, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, and each party shall bear its own costs and expenses.",The damage limits do not apply if someone acts with gross negligence or on purpose.
654,"For the avoidance of doubt, the data subject shall have the right to access, correct, or delete personal data processed by the controller, and no party shall rely on any oral representation to the contrary.",The person whose data is used can see it and ask to correct or delete it.
655,"To the fullest extent permitted by law, the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and the limitations of liability specified in this section shall apply.",The tenant needs the landlord's written permission before changing the structure of the space.
656,"Where a party fails to perform its obligations as required, the insurance coverage required under this Agreement shall name the other party as an additional insured, without prejudice to any other remedy available at law or in equity.",The required insurance must list the other party as also being covered.
657,"Notwithstanding any other term contained herein, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, unless otherwise agreed to in a subsequent written amendment.",The company can choose to end the contract for any reason with thirty days' written notice.
658,"Except as otherwise expressly provided in this Agreement, the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, and each party shall bear its own costs and expenses.",Both sides must try to reduce the harm caused by a breach.
659,"The obligations set forth in this section shall survive termination of this Agreement, and any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration.",Any dispute about this contract will be decided by arbitration instead of a regular court.
660,"In the event of a dispute arising under this Agreement, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, and such dispute shall be resolved in accordance with the procedures set forth herein.",The shareholder lets the company vote their shares as promised in the agreement.
661,"Subject to applicable law and regulatory requirements, the nonbreaching party may seek specific performance or injunctive relief, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
662,"Notwithstanding any other term contained herein, each party shall maintain the confidentiality of proprietary information disclosed hereunder, unless otherwise agreed to in a subsequent written amendment.",Each side must keep shared confidential information private.
663,"Except as otherwise expressly provided in this Agreement, no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and each party shall bear its own costs and expenses.",Agreeing to ignore one violation does not mean future violations are forgiven.
664,"The parties hereby agree that the party in default shall be afforded a reasonable opportunity to cure such default, and this provision shall be binding upon all successors and assigns.",The side that made a mistake gets a fair chance to fix the problem.
665,"Notwithstanding any other term contained herein, all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, unless otherwise agreed to in a subsequent written amendment.",All required notices must be written and sent by certified mail or a well-known delivery service.
666,"If any provision of this Agreement is determined to be invalid or unenforceable, the laws of the State of New York shall govern the interpretation and enforcement of this Agreement, and the remaining provisions shall remain in full force and effect.",New York law controls how this contract is read and enforced.
667,"To the fullest extent permitted by law, any assignment of this Agreement without the prior written consent of the other party shall be null and void, and the limitations of liability specified in this section shall apply.",You cannot transfer this contract to someone else without written permission.
668,"In the event of a dispute arising under this Agreement, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, and such dispute shall be resolved in accordance with the procedures set forth herein.",Both sides agree that deadlines in the contract really matter.
669,"Subject to applicable law and regulatory requirements, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The employee must follow the employer's rules and policies.
670,"Where a party fails to perform its obligations as required, the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, without prejudice to any other remedy available at law or in equity.",The customer has thirty days to pay a correct bill in full.
671,"Subject to applicable law and regulatory requirements, interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Late payments will collect interest up to the legal limit.
672,"Notwithstanding any other term contained herein, the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, unless otherwise agreed to in a subsequent written amendment.",The contractor has to get any licenses or permits needed to do the work.
673,"Subject to applicable law and regulatory requirements, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The damage limits do not apply if someone acts with gross negligence or on purpose.
674,"In the event of a dispute arising under this Agreement, the data subject shall have the right to access, correct, or delete personal data processed by the controller, and such dispute shall be resolved in accordance with the procedures set forth herein.",The person whose data is used can see it and ask to correct or delete it.
675,"Except as otherwise expressly provided in this Agreement, the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and each party shall bear its own costs and expenses.",The tenant needs the landlord's written permission before changing the structure of the space.
676,"If any provision of this Agreement is determined to be invalid or unenforceable, the insurance coverage required under this Agreement shall name the other party as an additional insured, and the remaining provisions shall remain in full force and effect.",The required insurance must list the other party as also being covered.
677,"Notwithstanding any other term contained herein, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, unless otherwise agreed to in a subsequent written amendment.",The company can choose to end the contract for any reason with thirty days' written notice.
678,"Subject to applicable law and regulatory requirements, the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Both sides must try to reduce the harm caused by a breach.
679,"Subject to applicable law and regulatory requirements, any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Any dispute about this contract will be decided by arbitration instead of a regular court.
680,"Where a party fails to perform its obligations as required, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, without prejudice to any other remedy available at law or in equity.",The shareholder lets the company vote their shares as promised in the agreement.
681,"To the fullest extent permitted by law, the nonbreaching party may seek specific performance or injunctive relief, and the limitations of liability specified in this section shall apply.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
682,"Notwithstanding any other term contained herein, each party shall maintain the confidentiality of proprietary information disclosed hereunder, unless otherwise agreed to in a subsequent written amendment.",Each side must keep shared confidential information private.
683,"For the avoidance of doubt, no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and no party shall rely on any oral representation to the contrary.",Agreeing to ignore one violation does not mean future violations are forgiven.
684,"Except as otherwise expressly provided in this Agreement, the party in default shall be afforded a reasonable opportunity to cure such default, and each party shall bear its own costs and expenses.",The side that made a mistake gets a fair chance to fix the problem.
685,"The obligations set forth in this section shall survive termination of this Agreement, and all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service.",All required notices must be written and sent by certified mail or a well-known delivery service.
686,"Notwithstanding any other term contained herein, the laws of the State of New York shall govern the interpretation and enforcement of this Agreement, unless otherwise agreed to in a subsequent written amendment.",New York law controls how this contract is read and enforced.
687,"Where a party fails to perform its obligations as required, any assignment of this Agreement without the prior written consent of the other party shall be null and void, without prejudice to any other remedy available at law or in equity.",You cannot transfer this contract to someone else without written permission.
688,"Where a party fails to perform its obligations as required, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, without prejudice to any other remedy available at law or in equity.",Both sides agree that deadlines in the contract really matter.
689,"For the avoidance of doubt, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, and no party shall rely on any oral representation to the contrary.",The employee must follow the employer's rules and policies.
690,"If any provision of this Agreement is determined to be invalid or unenforceable, the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, and the remaining provisions shall remain in full force and effect.",The customer has thirty days to pay a correct bill in full.
691,"Subject to applicable law and regulatory requirements, interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Late payments will collect interest up to the legal limit.
692,"The parties hereby agree that the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, and this provision shall be binding upon all successors and assigns.",The contractor has to get any licenses or permits needed to do the work.
693,"Notwithstanding any other term contained herein, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, unless otherwise agreed to in a subsequent written amendment.",The damage limits do not apply if someone acts with gross negligence or on purpose.
694,"To the fullest extent permitted by law, the data subject shall have the right to access, correct, or delete personal data processed by the controller, and the limitations of liability specified in this section shall apply.",The person whose data is used can see it and ask to correct or delete it.
695,"For the avoidance of doubt, the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and no party shall rely on any oral representation to the contrary.",The tenant needs the landlord's written permission before changing the structure of the space.
696,"Subject to applicable law and regulatory requirements, the insurance coverage required under this Agreement shall name the other party as an additional insured, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The required insurance must list the other party as also being covered.
697,"If any provision of this Agreement is determined to be invalid or unenforceable, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, and the remaining provisions shall remain in full force and effect.",The company can choose to end the contract for any reason with thirty days' written notice.
698,"The obligations set forth in this section shall survive termination of this Agreement, and the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement.",Both sides must try to reduce the harm caused by a breach.
699,"Except as otherwise expressly provided in this Agreement, any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration, and each party shall bear its own costs and expenses.",Any dispute about this contract will be decided by arbitration instead of a regular court.
700,"If any provision of this Agreement is determined to be invalid or unenforceable, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, and the remaining provisions shall remain in full force and effect.",The shareholder lets the company vote their shares as promised in the agreement.
701,"Subject to applicable law and regulatory requirements, the nonbreaching party may seek specific performance or injunctive relief, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
702,"In the event of a dispute arising under this Agreement, each party shall maintain the confidentiality of proprietary information disclosed hereunder, and such dispute shall be resolved in accordance with the procedures set forth herein.",Each side must keep shared confidential information private.
703,"In the event of a dispute arising under this Agreement, no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and such dispute shall be resolved in accordance with the procedures set forth herein.",Agreeing to ignore one violation does not mean future violations are forgiven.
704,"Notwithstanding any other term contained herein, the party in default shall be afforded a reasonable opportunity to cure such default, unless otherwise agreed to in a subsequent written amendment.",The side that made a mistake gets a fair chance to fix the problem.
705,"Except as otherwise expressly provided in this Agreement, all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, and each party shall bear its own costs and expenses.",All required notices must be written and sent by certified mail or a well-known delivery service.
706,"For the avoidance of doubt, the laws of the State of New York shall govern the interpretation and enforcement of this Agreement, and no party shall rely on any oral representation to the contrary.",New York law controls how this contract is read and enforced.
707,"If any provision of this Agreement is determined to be invalid or unenforceable, any assignment of this Agreement without the prior written consent of the other party shall be null and void, and the remaining provisions shall remain in full force and effect.",You cannot transfer this contract to someone else without written permission.
708,"If any provision of this Agreement is determined to be invalid or unenforceable, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, and the remaining provisions shall remain in full force and effect.",Both sides agree that deadlines in the contract really matter.
709,"Where a party fails to perform its obligations as required, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, without prejudice to any other remedy available at law or in equity.",The employee must follow the employer's rules and policies.
710,"Subject to applicable law and regulatory requirements, the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The customer has thirty days to pay a correct bill in full.
711,"For the avoidance of doubt, interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, and no party shall rely on any oral representation to the contrary.",Late payments will collect interest up to the legal limit.
712,"The parties hereby agree that the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, and this provision shall be binding upon all successors and assigns.",The contractor has to get any licenses or permits needed to do the work.
713,"For the avoidance of doubt, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, and no party shall rely on any oral representation to the contrary.",The damage limits do not apply if someone acts with gross negligence or on purpose.
714,"Notwithstanding any other term contained herein, the data subject shall have the right to access, correct, or delete personal data processed by the controller, unless otherwise agreed to in a subsequent written amendment.",The person whose data is used can see it and ask to correct or delete it.
715,"If any provision of this Agreement is determined to be invalid or unenforceable, the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and the remaining provisions shall remain in full force and effect.",The tenant needs the landlord's written permission before changing the structure of the space.
716,"For the avoidance of doubt, the insurance coverage required under this Agreement shall name the other party as an additional insured, and no party shall rely on any oral representation to the contrary.",The required insurance must list the other party as also being covered.
717,"To the fullest extent permitted by law, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, and the limitations of liability specified in this section shall apply.",The company can choose to end the contract for any reason with thirty days' written notice.
718,"To the fullest extent permitted by law, the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, and the limitations of liability specified in this section shall apply.",Both sides must try to reduce the harm caused by a breach.
719,"In the event of a dispute arising under this Agreement, any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration, and such dispute shall be resolved in accordance with the procedures set forth herein.",Any dispute about this contract will be decided by arbitration instead of a regular court.
720,"Except as otherwise expressly provided in this Agreement, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, and each party shall bear its own costs and expenses.",The shareholder lets the company vote their shares as promised in the agreement.
721,"Notwithstanding any other term contained herein, the nonbreaching party may seek specific performance or injunctive relief, unless otherwise agreed to in a subsequent written amendment.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
722,"In the event of a dispute arising under this Agreement, each party shall maintain the confidentiality of proprietary information disclosed hereunder, and such dispute shall be resolved in accordance with the procedures set forth herein.",Each side must keep shared confidential information private.
723,"The parties hereby agree that no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and this provision shall be binding upon all successors and assigns.",Agreeing to ignore one violation does not mean future violations are forgiven.
724,"If any provision of this Agreement is determined to be invalid or unenforceable, the party in default shall be afforded a reasonable opportunity to cure such default, and the remaining provisions shall remain in full force and effect.",The side that made a mistake gets a fair chance to fix the problem.
725,"If any provision of this Agreement is determined to be invalid or unenforceable, all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, and the remaining provisions shall remain in full force and effect.",All required notices must be written and sent by certified mail or a well-known delivery service.
726,"For the avoidance of doubt, the laws of the State of New York shall govern the interpretation and enforcement of this Agreement, and no party shall rely on any oral representation to the contrary.",New York law controls how this contract is read and enforced.
727,"Except as otherwise expressly provided in this Agreement, any assignment of this Agreement without the prior written consent of the other party shall be null and void, and each party shall bear its own costs and expenses.",You cannot transfer this contract to someone else without written permission.
728,"Notwithstanding any other term contained herein, the parties acknowledge that time is of the essence with respect to the performance of their respective obligations, unless otherwise agreed to in a subsequent written amendment.",Both sides agree that deadlines in the contract really matter.
729,"Where a party fails to perform its obligations as required, the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer, without prejudice to any other remedy available at law or in equity.",The employee must follow the employer's rules and policies.
730,"Where a party fails to perform its obligations as required, the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, without prejudice to any other remedy available at law or in equity.",The customer has thirty days to pay a correct bill in full.
731,"For the avoidance of doubt, interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, and no party shall rely on any oral representation to the contrary.",Late payments will collect interest up to the legal limit.
732,"The obligations set forth in this section shall survive termination of this Agreement, and the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services.",The contractor has to get any licenses or permits needed to do the work.
733,"If any provision of this Agreement is determined to be invalid or unenforceable, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, and the remaining provisions shall remain in full force and effect.",The damage limits do not apply if someone acts with gross negligence or on purpose.
734,"If any provision of this Agreement is determined to be invalid or unenforceable, the data subject shall have the right to access, correct, or delete personal data processed by the controller, and the remaining provisions shall remain in full force and effect.",The person whose data is used can see it and ask to correct or delete it.
735,"Subject to applicable law and regulatory requirements, the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The tenant needs the landlord's written permission before changing the structure of the space.
736,"If any provision of this Agreement is determined to be invalid or unenforceable, the insurance coverage required under this Agreement shall name the other party as an additional insured, and the remaining provisions shall remain in full force and effect.",The required insurance must list the other party as also being covered.
737,"Where a party fails to perform its obligations as required, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, without prejudice to any other remedy available at law or in equity.",The company can choose to end the contract for any reason with thirty days' written notice.
738,"Notwithstanding any other term contained herein, the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, unless otherwise agreed to in a subsequent written amendment.",Both sides must try to reduce the harm caused by a breach.
739,"The obligations set forth in this section shall survive termination of this Agreement, and any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration.",Any dispute about this contract will be decided by arbitration instead of a regular court.
740,"Except as otherwise expressly provided in this Agreement, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, and each party shall bear its own costs and expenses.",The shareholder lets the company vote their shares as promised in the agreement.
741,"The obligations set forth in this section shall survive termination of this Agreement, and the nonbreaching party may seek specific performance or injunctive relief.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
742,"For the avoidance of doubt, each party shall maintain the confidentiality of proprietary information disclosed hereunder, and no party shall rely on any oral representation to the contrary.",Each side must keep shared confidential information private.
743,"To the fullest extent permitted by law, no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and the limitations of liability specified in this section shall apply.",Agreeing to ignore one violation does not mean future violations are forgiven.
744,"If any provision of this Agreement is determined to be invalid or unenforceable, the party in default shall be afforded a reasonable opportunity to cure such default, and the remaining provisions shall remain in full force and effect.",The side that made a mistake gets a fair chance to fix the problem.
745,"To the fullest extent permitted by law, all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, and the limitations of liability specified in this section shall apply.",All required notices must be written and sent by certified mail or a well-known delivery service.
746,"In the event of a dispute arising under this Agreement, the laws of the State of New York shall govern the interpretation and enforcement of this Agreement, and such dispute shall be resolved in accordance with the procedures set forth herein.",New York law controls how this contract is read and enforced.
