id,src_legal,tgt_plain
20,"When things are in such a posture, courts are required to view the facts and draw reasonable inferences ""in the light most favorable to the party opposing the motion.""","When things are in such a situation, courts are required to view the facts and draw reasonable inferences ""in the light most favorable to the party opposing the motion."""
21,"In qualified immunity cases, this usually means adopting (as the Court of Appeals did here) the plaintiff's version of the facts.","In limited protection from lawsuit cases, this usually means adopting (as the Court of Appeals did here) the complainant's version of the facts."
22,The videotape quite clearly contradicts the version of the story told by respondent and adopted by the Court of Appeals.,The video recording quite clearly contradicts the version of the story told by the defendant and adopted by the Court of Appeals.
23,"For example, the Court of Appeals adopted respondent's assertions that, during the chase, ""there was little, if any, actual threat to pedestrians or other motorists, as the roads were mostly empty and respondent remained in control of his vehicle.""","For example, the Court of Appeals adopted the defendant's claims that, during the chase, ""there was little, if any, actual threat to pedestrians or other drivers, as the roads were mostly empty and the defendant remained in control of his vehicle."""
24,"Indeed, reading the lower court's opinion, one gets the impression that respondent, rather than fleeing from police, was attempting to pass his driving test.","Indeed, reading the lower court's opinion, one gets the impression that the defendant, rather than fleeing from police, was attempting to pass his driving test."
25,"Taking the facts from the non-movant's viewpoint, respondent remained in control of his vehicle, slowed for turns and intersections, and typically used his indicators for turns.","Taking the facts from the person not making the motion's viewpoint, the defendant remained in control of his vehicle, slowed for turns and intersections, and typically used his turn signals for turns."
26,"Significantly, by the time the parties were back on the highway and Scott rammed respondent, the motorway had been cleared of motorists and pedestrians allegedly because of police blockades of the nearby intersections.","Significantly, by the time the parties were back on the highway and Scott rammed the defendant, the motorway had been cleared of drivers and pedestrians supposedly because of police blockades of the nearby intersections."
27,"There we see respondent's vehicle racing down narrow, two-lane roads in the dead of night at speeds that are shockingly fast.","There we see the defendant's vehicle racing down narrow, two-lane roads in the dead of night at speeds that are shockingly fast."
28,"Far from being the cautious and controlled driver the lower court depicts, what we see on the video more closely resembles a Hollywood-style car chase of the most frightening sort, placing police officers and innocent bystanders alike at great risk of serious injury.","Far from being the cautious and controlled driver the lower court depicts, what we see on the video more closely resembles a Hollywood-style car chase of the most frightening kind, placing police officers and innocent bystanders alike at great risk of serious injury."
29,That was the case here with regard to the factual issue whether respondent was driving in such fashion as to endanger human life.,That was the case here regarding the factual issue whether the defendant was driving in such a way as to endanger human life.
30,Respondent's version of events is so utterly discredited by the record that no reasonable jury could have believed him.,The defendant's version of events is so completely discredited by the record that no reasonable jury could have believed him.
31,The Court of Appeals should not have relied on such visible fiction; it should have viewed the facts in the light depicted by the videotape.,The Court of Appeals should not have relied on such obvious fiction; it should have viewed the facts in the light shown by the video recording.
32,"Judging the matter on that basis, we think it is quite clear that Deputy Scott did not violate the Fourth Amendment.","Judging the matter on that basis, we think it is quite clear that Deputy Scott did not violate the Fourth Amendment protection against unreasonable searches and seizures."
33,"Scott does not contest that his decision to terminate the car chase by ramming his bumper into respondent's vehicle constituted a ""seizure.""","Scott does not dispute that his decision to end the car chase by ramming his bumper into the defendant's vehicle constituted a ""seizure."""
34,The question we need to answer is whether Scott's actions were objectively reasonable.,The question we need to answer is whether Scott's actions were objectively reasonable.
35,"In determining the reasonableness of the manner in which a seizure is effected, we must balance the nature and quality of the intrusion on the individual's Fourth Amendment interests against the importance of the governmental interests alleged to justify the intrusion.","In determining the reasonableness of the manner in which a seizure is carried out, we must balance the nature and quality of the intrusion on the individual's Fourth Amendment interests against the importance of the governmental interests claimed to justify the intrusion."
36,"Scott defends his actions by pointing to the paramount governmental interest in ensuring public safety, and respondent nowhere suggests this was not the purpose motivating Scott's behavior.","Scott defends his actions by pointing to the supreme governmental interest in ensuring public safety, and the defendant nowhere suggests this was not the purpose motivating Scott's behavior."
37,"Thus, in judging whether Scott's actions were reasonable, we must consider the risk of bodily harm that Scott's actions posed to respondent in light of the threat to the public that Scott was trying to eliminate.","Thus, in judging whether Scott's actions were reasonable, we must consider the risk of bodily harm that Scott's actions posed to the defendant in light of the threat to the public that Scott was trying to eliminate."
38,"Although there is no obvious way to quantify the risks on either side, it is clear from the videotape that respondent posed an actual and imminent threat to the lives of any pedestrians who might have been present, to other civilian motorists, and to the officers involved in the chase.","Although there is no obvious way to measure the risks on either side, it is clear from the video recording that the defendant posed an actual and immediate threat to the lives of any pedestrians who might have been present, to other civilian drivers, and to the officers involved in the chase."
39,"It is equally clear that Scott's actions posed a high likelihood of serious injury or death to respondent—though not the near certainty of death posed by, say, shooting a fleeing felon in the back of the head, or pulling alongside a fleeing motorist's car and shooting the motorist.","It is equally clear that Scott's actions posed a high likelihood of serious injury or death to the defendant—though not the near certainty of death posed by, say, shooting a fleeing criminal in the back of the head, or pulling alongside a fleeing driver's car and shooting the driver."
40,"But wait, says respondent: Couldn't the innocent public equally have been protected, and the tragic accident entirely avoided, if the police had simply ceased their pursuit?","But wait, says the defendant: Couldn't the innocent public equally have been protected, and the tragic accident entirely avoided, if the police had simply stopped their pursuit?"
41,We think the police need not have taken that chance and hoped for the best.,We think the police did not need to take that chance and hope for the best.
42,"Whereas Scott's action—ramming respondent off the road—was certain to eliminate the risk that respondent posed to the public, ceasing pursuit was not.","Whereas Scott's action—ramming the defendant off the road—was certain to eliminate the risk that the defendant posed to the public, stopping pursuit was not."
43,"First of all, there would have been no way to convey convincingly to respondent that the chase was off, and that he was free to go.","First of all, there would have been no way to communicate convincingly to the defendant that the chase was off, and that he was free to go."
44,"Had respondent looked in his rear-view mirror and seen the police cars deactivate their flashing lights and turn around, he would have had no idea whether they were truly letting him get away, or simply devising a new strategy for capture.","Had the defendant looked in his rear-view mirror and seen the police cars turn off their flashing lights and turn around, he would have had no idea whether they were truly letting him get away, or simply devising a new strategy for capture."
45,"Given such uncertainty, respondent might have been just as likely to respond by continuing to drive recklessly as by slowing down and wiping his brow.","Given such uncertainty, the defendant might have been just as likely to respond by continuing to drive recklessly as by slowing down and wiping his brow."
46,The Constitution assuredly does not impose this invitation to impunity-earned-by-recklessness.,The Constitution certainly does not impose this invitation to freedom from punishment earned by recklessness.
47,"Instead, we lay down a more sensible rule: A police officer's attempt to terminate a dangerous high-speed car chase that threatens the lives of innocent bystanders does not violate the Fourth Amendment, even when it places the fleeing motorist at risk of serious injury or death.","Instead, we establish a more sensible rule: A police officer's attempt to end a dangerous high-speed car chase that threatens the lives of innocent bystanders does not violate the Fourth Amendment protection against unreasonable searches and seizures, even when it places the fleeing driver at risk of serious injury or death."
48,The car chase that respondent initiated in this case posed a substantial and immediate risk of serious physical injury to others; no reasonable jury could conclude otherwise.,The car chase that the defendant started in this case posed a substantial and immediate risk of serious physical injury to others; no reasonable jury could conclude otherwise.
49,"Scott's attempt to terminate the chase by forcing respondent off the road was reasonable, and Scott is entitled to summary judgment.","Scott's attempt to end the chase by forcing the defendant off the road was reasonable, and Scott is entitled to a decision without trial."
50,"I join the Court's opinion and would underscore that I do not read today's decision as articulating a mechanical, per se rule.","I join the Court's opinion and would emphasize that I do not read today's decision as stating a mechanical, automatic rule."
51,The inquiry described by the Court is situation specific.,The inquiry described by the Court is specific to each situation.
52,"Among other relevant facts and circumstances are the speeds of the vehicles, the nature of the area through which they are traveling (residential, commercial, rural, or otherwise), the time of day or night, the presence or absence of other vehicles and pedestrians on the roadways, the availability and efficacy of alternative methods of apprehension, and the existence of traffic laws and regulations.","Among other relevant facts and circumstances are the speeds of the vehicles, the nature of the area through which they are traveling (residential, commercial, rural, or otherwise), the time of day or night, the presence or absence of other vehicles and pedestrians on the roadways, the availability and effectiveness of alternative methods of capture, and the existence of traffic laws and regulations."
53,"The Court wisely avoids announcing a bright-line rule, and I agree that the Fourth Amendment does not mandate such rigidity.","The Court wisely avoids announcing a clear-cut rule, and I agree that the Fourth Amendment does not require such rigidity."
54,"I am happy to join the Court's opinion in this case, but with one caveat: We should not assume that the only two outcomes here were either that Officer Scott would have to call off the pursuit, or that respondent would crash.","I am happy to join the Court's opinion in this case, but with one warning: We should not assume that the only two outcomes here were either that Officer Scott would have to call off the pursuit, or that the defendant would crash."
55,"The video makes clear that respondent posed a grave public safety risk, and that Officer Scott's decision to end the risk by forcing respondent from the road was reasonable.","The video makes clear that the defendant posed a serious public safety risk, and that Officer Scott's decision to end the risk by forcing the defendant from the road was reasonable."
56,"Whether or not Officer Scott's actions constituted deadly force, it was not objectively unreasonable for him to have employed that force.","Whether or not Officer Scott's actions constituted deadly force, it was not objectively unreasonable for him to have used that force."
57,"The Court, in my view, correctly concludes that Officer Scott's decision to end the chase by forcing respondent's vehicle off the road under these circumstances was reasonable.","The Court, in my view, correctly concludes that Officer Scott's decision to end the chase by forcing the defendant's vehicle off the road under these circumstances was reasonable."
58,I write separately to highlight an additional basis for our decision.,I write separately to highlight an additional basis for our decision.
59,"The videotape of the car chase, taken from Officer Scott's patrol car, provides a vivid account of the events in question far superior to anything conveyed by dry legal descriptions.","The video recording of the car chase, taken from Officer Scott's patrol car, provides a vivid account of the events in question far superior to anything conveyed by dry legal descriptions."
60,"Had the Court of Appeals watched the videotape, it would have found summary judgment appropriate.","Had the Court of Appeals watched the video recording, it would have found a decision without trial appropriate."
61,The majority opinion correctly relies on the videotape to resolve this case.,The majority opinion correctly relies on the video recording to resolve this case.
62,I would add that the videotape is not merely relevant evidence; it is the key to understanding this case.,I would add that the video recording is not merely relevant evidence; it is the key to understanding this case.
63,"The Court of Appeals erred in refusing to view the facts in light of the videotape, and its error was consequential.","The Court of Appeals made a mistake in refusing to view the facts in light of the video recording, and its mistake had consequences."
64,Courts should not rely on one party's version of the facts when a videotape of the events at issue is readily available.,Courts should not rely on one party's version of the facts when a video recording of the events at issue is readily available.
65,I respectfully dissent.,I respectfully disagree.
66,The Court today sets out a per se rule that presumes unreasonableness in cases involving high-speed police pursuits where the fleeing motorist is forced off the road and sustains injury.,The Court today sets out an automatic rule that presumes unreasonableness in cases involving high-speed police pursuits where the fleeing driver is forced off the road and sustains injury.
67,"The Court today reverses the Court of Appeals and holds that, as a matter of law, respondent's Fourth Amendment rights were not violated by Scott's actions.","The Court today reverses the Court of Appeals and holds that, as a matter of law, the defendant's Fourth Amendment rights were not violated by Scott's actions."
68,I cannot agree that Scott's actions were reasonable under the Fourth Amendment.,I cannot agree that Scott's actions were reasonable under the Fourth Amendment protection against unreasonable searches and seizures.
69,The majority's conclusion that no reasonable jury could find Scott liable depends on a misreading of the record and an unreasonable interpretation of the law.,The majority's conclusion that no reasonable jury could find Scott liable depends on a misreading of the record and an unreasonable interpretation of the law.
70,The Court's opinion discounts the value of human life in a way that is deeply troubling.,The Court's opinion discounts the value of human life in a way that is deeply troubling.
71,"The majority's decision effectively gives police officers carte blanche to use deadly force in car chases, regardless of the circumstances.","The majority's decision effectively gives police officers unrestricted authority to use deadly force in car chases, regardless of the circumstances."
72,"The majority wrongly decides that an officer may take a course of action that creates a substantial likelihood of serious injury or death when there are other, less dangerous means of apprehension available.","The majority wrongly decides that an officer may take a course of action that creates a substantial likelihood of serious injury or death when there are other, less dangerous means of capture available."
73,I would hold that Officer Scott violated Harris's Fourth Amendment rights and that genuine issues of material fact preclude the entry of summary judgment.,I would hold that Officer Scott violated Harris's Fourth Amendment rights and that genuine issues of material fact prevent the entry of a decision without trial.
74,The majority's opinion today is particularly concerning because it gives officers virtually unlimited discretion to use deadly force in car chases.,The majority's opinion today is particularly concerning because it gives officers virtually unlimited discretion to use deadly force in car chases.
75,"In my view, the Fourth Amendment requires a more careful balancing of the competing interests at stake.","In my view, the Fourth Amendment protection against unreasonable searches and seizures requires a more careful balancing of the competing interests at stake."
76,I cannot join the Court in authorizing such reckless conduct by law enforcement officers.,I cannot join the Court in authorizing such reckless conduct by law enforcement officers.
77,The majority's decision will have far-reaching consequences for the protection of constitutional rights in this country.,The majority's decision will have far-reaching consequences for the protection of constitutional rights in this country.
78,"I believe the Court of Appeals correctly applied the law to the facts of this case, and I would affirm its decision.","I believe the Court of Appeals correctly applied the law to the facts of this case, and I would uphold its decision."
79,The majority's holding today represents a dangerous departure from established Fourth Amendment principles.,The majority's holding today represents a dangerous departure from established Fourth Amendment principles.
80,I respectfully dissent from the Court's decision to reverse the judgment of the Court of Appeals.,I respectfully disagree with the Court's decision to reverse the judgment of the Court of Appeals.
81,This case raises important questions about the use of force by police officers in pursuit situations.,This case raises important questions about the use of force by police officers in pursuit situations.
82,The Court's decision today will make it more difficult for victims of police misconduct to obtain redress for their injuries.,The Court's decision today will make it more difficult for victims of police misconduct to obtain compensation for their injuries.
83,I believe the majority has misapplied the qualified immunity doctrine in this case.,I believe the majority has misapplied the limited protection from lawsuit doctrine in this case.
84,"The Fourth Amendment protects individuals from unreasonable seizures, and that protection should not be sacrificed in the name of law enforcement convenience.","The Fourth Amendment protects individuals from unreasonable seizures, and that protection should not be sacrificed in the name of law enforcement convenience."
85,"In my judgment, Officer Scott's actions were not objectively reasonable under the circumstances of this case.","In my judgment, Officer Scott's actions were not objectively reasonable under the circumstances of this case."
86,The majority's decision effectively immunizes police officers from liability for their use of deadly force in high-speed chases.,The majority's decision effectively protects police officers from liability for their use of deadly force in high-speed chases.
87,I would hold that a reasonable jury could find that Officer Scott's actions violated Harris's Fourth Amendment rights.,I would hold that a reasonable jury could find that Officer Scott's actions violated Harris's Fourth Amendment rights.
88,The Court's opinion today undermines important constitutional protections for individual liberty and bodily integrity.,The Court's opinion today undermines important constitutional protections for individual liberty and bodily integrity.
89,"I believe the Court should have allowed this case to proceed to trial, where a jury could weigh the competing evidence and make a determination about the reasonableness of Officer Scott's actions.","I believe the Court should have allowed this case to proceed to trial, where a jury could weigh the competing evidence and make a determination about the reasonableness of Officer Scott's actions."
90,The majority's decision today represents a troubling expansion of police power at the expense of individual constitutional rights.,The majority's decision today represents a troubling expansion of police power at the expense of individual constitutional rights.
91,"For these reasons, I respectfully dissent from the Court's judgment.","For these reasons, I respectfully disagree with the Court's judgment."
92,"The Fourth Amendment requires that police officers act reasonably when they seize individuals, and I believe Officer Scott's actions in this case were unreasonable.","The Fourth Amendment requires that police officers act reasonably when they seize individuals, and I believe Officer Scott's actions in this case were unreasonable."
93,I would reverse the district court's grant of summary judgment and remand this case for further proceedings.,I would reverse the district court's grant of a decision without trial and send this case back for further proceedings.
94,The Court's decision today gives police officers too much discretion to use potentially deadly force in situations where less extreme measures might suffice.,The Court's decision today gives police officers too much discretion to use potentially deadly force in situations where less extreme measures might be enough.
95,I believe the majority has struck the wrong balance between law enforcement interests and individual constitutional rights.,I believe the majority has struck the wrong balance between law enforcement interests and individual constitutional rights.
96,"In my view, this case should have been decided by a jury after a full trial on the merits.","In my view, this case should have been decided by a jury after a full trial on the merits."
97,The majority's opinion today will make it harder for individuals to vindicate their Fourth Amendment rights in court.,The majority's opinion today will make it harder for individuals to enforce their Fourth Amendment rights in court.
98,I cannot agree with the Court's conclusion that no reasonable jury could find Officer Scott liable for violating Harris's constitutional rights.,I cannot agree with the Court's conclusion that no reasonable jury could find Officer Scott liable for violating Harris's constitutional rights.
99,The Fourth Amendment demands more careful scrutiny of police conduct than the majority is willing to provide in this case.,The Fourth Amendment demands more careful examination of police conduct than the majority is willing to provide in this case.
100,"For all these reasons, I respectfully dissent from the Court's decision.","For all these reasons, I respectfully disagree with the Court's decision."
101,"Thus, we have held that an order denying qualified immunity is immediately appealable even though it is interlocutory; otherwise, it would be ""effectively unreviewable.""","Thus, we have held that an order denying limited protection from lawsuits is immediately appealable even though it is not a final decision; otherwise, it would be ""effectively unreviewable."""
102,None of the other claims respondent brought against Scott or any other party are before this Court.,None of the other claims the defendant brought against Scott or any other party are before this Court.
103,"Prior to this Court's announcement of Saucier's ""rigid 'order of battle,'""","Before this Court's announcement of Saucier's ""rigid 'order of battle,'"""
104,"There has been doubt expressed regarding the wisdom of Saucier's decision to make the threshold inquiry mandatory, especially in cases where the constitutional question is relatively difficult and the qualified immunity question relatively straightforward.","There has been doubt expressed regarding the wisdom of Saucier's decision to make the threshold inquiry mandatory, especially in cases where the constitutional question is relatively difficult and the limited protection from lawsuit question relatively straightforward."
105,"We need not address the wisdom of Saucier in this case, however, because the constitutional question with which we are presented is, as discussed in Part III-B, infra, easily decided.","We need not address the wisdom of Saucier in this case, however, because the constitutional question with which we are presented is, as discussed in Part III-B below, easily decided."
106,"Justice STEVENS suggests that our reaction to the videotape is somehow idiosyncratic, and seems to believe we are misrepresenting its contents.","Justice STEVENS suggests that our reaction to the video recording is somehow unusual, and seems to believe we are misrepresenting its contents."
107,"In sum, the factual statements by the Court of Appeals quoted by the Court were entirely accurate.","In sum, the factual statements by the Court of Appeals quoted by the Court were entirely accurate."
108,"Justice STEVENS hypothesizes that these cars ""had already pulled to the side of the road or were driving along the shoulder because they heard the police sirens or saw the flashing lights,"" so that ""A jury could certainly conclude that those motorists were exposed to no greater risk than persons who take the same action in response to a speeding ambulance.""","Justice STEVENS theorizes that these cars ""had already pulled to the side of the road or were driving along the shoulder because they heard the police sirens or saw the flashing lights,"" so that ""A jury could certainly conclude that those drivers were exposed to no greater risk than persons who take the same action in response to a speeding ambulance."""
109,The risk they pose to the public is vastly less than what respondent created here.,The risk they pose to the public is vastly less than what the defendant created here.
110,"But even if that were not so, it would in no way lead to the conclusion that it was unreasonable to eliminate the threat to life that respondent posed.","But even if that were not so, it would in no way lead to the conclusion that it was unreasonable to eliminate the threat to life that the defendant posed."
111,This is not to say that each and every factual statement made by the Court of Appeals is inaccurate.,This is not to say that each and every factual statement made by the Court of Appeals is inaccurate.
112,"For example, the videotape validates the court's statement that when Scott rammed respondent's vehicle it was not threatening any other vehicles or pedestrians.","For example, the video recording validates the court's statement that when Scott rammed the defendant's vehicle it was not threatening any other vehicles or pedestrians."
113,"Justice STEVENS incorrectly declares this to be ""a question of fact best reserved for a jury,"" and complains we are ""usurp[ing] the jury's factfinding function.""","Justice STEVENS incorrectly declares this to be ""a question of fact best reserved for a jury,"" and complains we are ""taking over the jury's factfinding function."""
114,"At the summary judgment stage, however, once we have determined the relevant set of facts and drawn all inferences in favor of the nonmoving party to the extent supportable by the record, the reasonableness of Scott's actions is a pure question of law.","At the decision without trial stage, however, once we have determined the relevant set of facts and drawn all inferences in favor of the party not making the motion to the extent supportable by the record, the reasonableness of Scott's actions is a pure question of law."
115,"Respondent, like the Court of Appeals, defines this second precondition as ""necessary to prevent escape.""","The defendant, like the Court of Appeals, defines this second precondition as ""necessary to prevent escape."""
116,"The necessity described in Garner was, in fact, the need to prevent ""serious physical harm, either to the officer or to others.""","The necessity described in Garner was, in fact, the need to prevent ""serious physical harm, either to the officer or to others."""
117,"Respondent did not pose that type of inherent threat to society, since (prior to the car chase) he had committed only a minor traffic offense and, as far as the police were aware, had no prior criminal record.","The defendant did not pose that type of inherent threat to society, since (before the car chase) he had committed only a minor traffic offense and, as far as the police were aware, had no prior criminal record."
118,"But in this case, unlike in Garner, it was respondent's flight itself (by means of a speeding automobile) that posed the threat of ""serious physical harm to others.""","But in this case, unlike in Garner, it was the defendant's flight itself (by means of a speeding automobile) that posed the threat of ""serious physical harm to others."""
119,"The Court of Appeals cited County of Inyo for its refusal to ""countenance the argument that by continuing to flee, a suspect absolves a pursuing police officer of any possible liability for all ensuing actions during the chase.""","The Court of Appeals cited County of Inyo for its refusal to ""accept the argument that by continuing to flee, a suspect absolves a pursuing police officer of any possible liability for all following actions during the chase."""
120,The only question in Brower was whether a police roadblock constituted a seizure under the Fourth Amendment.,The only question in Brower was whether a police roadblock constituted a seizure under the Fourth Amendment.
121,"In deciding that question, the relative culpability of the parties is, of course, irrelevant; a seizure occurs whenever the police are responsible for the termination of a person's movement, regardless of the reason for the termination.","In deciding that question, the relative blame of the parties is, of course, irrelevant; a seizure occurs whenever the police are responsible for the ending of a person's movement, regardless of the reason for the ending."
122,"Contrary to Justice STEVENS' assertions, we do not ""assume that dangers caused by flight from a police pursuit will continue after the pursuit ends,"" nor do we make any ""factual assumptions"" with respect to what would have happened if the police had gone home.","Contrary to Justice STEVENS' claims, we do not ""assume that dangers caused by flight from a police pursuit will continue after the pursuit ends,"" nor do we make any ""factual assumptions"" with respect to what would have happened if the police had gone home."
123,"We simply point out the uncertainties regarding what would have happened, in response to respondent's factual assumption that the high-speed flight would have ended.","We simply point out the uncertainties regarding what would have happened, in response to the defendant's factual assumption that the high-speed flight would have ended."
124,"I can only conclude that my colleagues were unduly frightened by two or three images on the tape that looked like bursts of lightning or explosions, but were in fact merely the headlights of vehicles zooming by in the opposite lane.","I can only conclude that my colleagues were excessively frightened by two or three images on the tape that looked like bursts of lightning or explosions, but were in fact merely the headlights of vehicles zooming by in the opposite lane."
125,Had they learned to drive when most high-speed driving took place on two-lane roads rather than on superhighways—when split-second judgments about the risk of passing a slow-poke in the face of oncoming traffic were routine—they might well have reacted to the videotape more dispassionately.,Had they learned to drive when most high-speed driving took place on two-lane roads rather than on superhighways—when split-second judgments about the risk of passing a slow driver in the face of oncoming traffic were routine—they might well have reacted to the video recording more calmly.
126,"According to the District Court record, when respondent was clocked at 73 miles per hour, the deputy who recorded his speed was sitting in his patrol car on Highway 34 between Lora Smith Road and Sullivan Road in Coweta County, Georgia.","According to the District Court record, when the defendant was measured at 73 miles per hour, the deputy who recorded his speed was sitting in his patrol car on Highway 34 between Lora Smith Road and Sullivan Road in Coweta County, Georgia."
127,"At that point, as well as at the point at which Highway 34 intersects with Highway 154—where the deputy caught up with respondent and the videotape begins—Highway 34 is a four-lane road, consisting of two lanes in each direction with a wide grass divider separating the flow of traffic.","At that point, as well as at the point at which Highway 34 intersects with Highway 154—where the deputy caught up with the defendant and the video recording begins—Highway 34 is a four-lane road, consisting of two lanes in each direction with a wide grass divider separating the flow of traffic."
128,"While still on the four-lane portion of Highway 34, the deputy who had clocked respondent's speed turned on his blue light and siren in an attempt to get respondent to pull over.","While still on the four-lane portion of Highway 34, the deputy who had measured the defendant's speed turned on his blue light and siren in an attempt to get the defendant to pull over."
129,It was when the deputy turned on his blue light that the dash-mounted video camera was activated and began to record the pursuit.,It was when the deputy turned on his blue light that the dashboard-mounted video camera was activated and began to record the pursuit.
130,"Although perhaps understandable, because their volume on the sound recording is low (possibly due to sound proofing in the officer's vehicle), the Court appears to minimize the significance of the sirens audible throughout the tape recording of the pursuit.","Although perhaps understandable, because their volume on the sound recording is low (possibly due to sound proofing in the officer's vehicle), the Court appears to minimize the significance of the sirens audible throughout the tape recording of the pursuit."
131,"In noting that Scott's action ""was certain to eliminate the risk that respondent posed to the public"" while ""ceasing pursuit was not,"" the Court prioritizes total elimination of the risk of harm to the public over the risk that respondent may be seriously injured or even killed.","In noting that Scott's action ""was certain to eliminate the risk that the defendant posed to the public"" while ""stopping pursuit was not,"" the Court prioritizes total elimination of the risk of harm to the public over the risk that the defendant may be seriously injured or even killed."
132,"The Court is only able to make such a statement by assuming, based on its interpretation of events on the videotape, that the risk of harm posed in this case, and the type of harm involved, rose to a level warranting deadly force.","The Court is only able to make such a statement by assuming, based on its interpretation of events on the video recording, that the risk of harm posed in this case, and the type of harm involved, rose to a level justifying deadly force."
133,"These are the same types of questions that, when disputed, are typically resolved by a jury; this is why both the District Court and the Court of Appeals saw fit to have them be so decided.","These are the same types of questions that, when disputed, are typically resolved by a jury; this is why both the District Court and the Court of Appeals saw fit to have them be so decided."
134,"Although the Court claims only to have drawn factual inferences in respondent's favor ""to the extent supportable by the record,"" its own view of the record has clearly precluded it from doing so to the same extent as the two courts through which this case has already traveled.","Although the Court claims only to have drawn factual inferences in the defendant's favor ""to the extent supportable by the record,"" its own view of the record has clearly prevented it from doing so to the same extent as the two courts through which this case has already traveled."
