id,src_legal,tgt_plain,source
41,"Plaintiffs’ actions have (1) required defendant to file three additional motions, (2) unnecessarily prolonged this case, (3) required defendant to incur expenses it should not have incurred, and (4) wasted the time of both defendant and the Court.","Plaintiffs’ actions (1) required defendant to submit three additional motions (2) unnecessarily lengthened this case, (3) required defendant to spend more money than it should have, and (4) wasted the time of both defendant and the Court.",real_lex_simple
42,"During the interview, Defendant commented to Chief Koivunen that he had been using methamphetamine the previous week and made reference to “being up over a week.” Defendant also stated that he had been using methamphetamine on May 6 “all day.” (Gov’t Ex.","During the interview, Defendant commented to Chief Koivunen that he had been using methamphetamine the previous week. He said that he was “up over a week.” Defendant also stated that he had been using methamphetamine on May 6 “all day.”",real_lex_simple
43,"In the two years following Mr. Dodson’s death, Mrs. Carroll did not seek Dependency and Indemnity Compensation (“DIC”) benefits, which are available to the “surviving spouse” of a veteran whose death resulted from a service-related injury or disease.","In the two years following Mr. Dodson’s death, Mrs. Carroll did not seek Dependency and Indemnity Compensation (“DIC”) benefits. DIC are allowances paid to the “surviving spouse” of a veteran whose death resulted from a service-related injury or disease.",real_lex_simple
44,"While Wendy's found that a jury demand constituted a waiver of a contractual jury waiver, the opinion contains essentially no reasoning and does not explicitly address the question of whether the jury demand in that case was ""proper” under Rule 38(d).","Wendy's found that a jury demand meant that a contractual jury waiver was given up. But, the opinion contains essentially no reasoning and does not explicitly say whether the jury demand in that case was ""proper”, as it should be according to Rule 38, sub-paragraph d of Federal Rules of Civil Procedure.",real_lex_simple
45,"The chapter 13 debtor, Gary D. Barbee (“Debtor”), instituted an adversary proceeding against U.S. Bank National Association as trustee for the Truman FHA Trust 2008-1, by and through its mortgage servicing agent BAC Home Loan Servicing (“Bank”) seeking to avoid the Bank’s interest in his manufactured home pursuant to 11 U.S.C.","The debtor under Chapter 13 of the Bankruptcy Code, Gary D. Barbee (“Debtor”), filed a complaint against U.S. Bank National Association as trustee for the Truman FHA Trust 2008-1, through its mortgage administrator BAC Home Loan Servicing (“Bank”). By this complaint, he wanted to avoid paying the Bank interest in his manufactured home pursuant to Title 11 of U.S. Code.",real_lex_simple
46,"Although Morgan Stanley had not yet moved for summary judgment on plaintiffs’ negligent misrepresentation claim, I ordered plaintiffs to show cause as to why their negligent misrepresentation claims against Morgan Stanley should not be dismissed in light-of my finding that Morgan Stanley made no actionable misstatement to plaintiffs.",Morgan Stanley had not yet requested that a summary judgment to be given on plaintiffs’ claims that Morgan Stanley made misleading statements due to negligence. But I ordered plaintiffs to show reasons for why their claims against Morgan Stanley should not be rejected in light-of my finding that Morgan Stanley made no misstatement to plaintiffs that can cause a legal action.,real_lex_simple
47,"The Audit Report also admitted only partial compliance with Standard 2100, regarding “a broader and more formalized approach in performing risk assessment procedures than is currently in practice at Chipotle,” and that IA believed Standard 2100’s “level of detail is not necessary or appropriate in the Chipotle environment.” (ECF No.","The Audit Report also admitted only partial compliance with Standard 2100, regarding “a broader and more formalized approach in performing risk assessment procedures than is currently in practice at Chipotle,” and that IA believed Standard 2100’s “level of detail is not necessary or appropriate in the Chipotle environment.”",real_lex_simple
48,"According to God-frey, Ralph Thumma, Loretta Seneca, Michael Froio, and Andy Keller, all employees at HOPE, would have testified that Godfrey had no involvement in the sales process and that all sales were handled by Burris and Fischer, and that Burris conducted all hiring and training of'employees; See Docket # 336, at 6-10.","According to God-frey, Ralph Thumma, Loretta Seneca, Michael Froio, and Andy Keller, all employees at HOPE, would have said that Godfrey was not involved in the sales process, that all sales were handled by Burris and Fischer, and that Burris conducted all hiring and training of employees. (See Docket # 336, at 6-10)",real_lex_simple
49,This court has jurisdiction to review a decision of the CAVC “with respect to the validity of a decision of the Court on a rule of law or of any statute or regulation ... or any interpretation thereof (other than a determination as to a factual matter) that was relied on by the [CAVC] in making the decision.” 38 U.S.C.,This court has the power to review a decision of the CAVC “with respect to the validity of a decision of the Court on a rule of law or of any statute or regulation ... or any interpretation thereof (but not with respect to determination of facts) that was relied on by the [CAVC] in making the decision.” 38 U.S.C.,real_lex_simple
50,"That one of the Board decisions the appellant was appealing was the June 2008 Board decision crystallized when he filed his pro se motion to recall mandate in February 2012, and later his informal brief, including arguments regarding the merits of the Substantive Appeal issue decided in the June 2008 Board decision.","One of the Board decisions the appellant was appealing was the June 2008 Board decision. This became clear when he filed his motion without a lawyer's assistance to recall the mendate in February 2012. Later he filed his informal brief, which included arguments on the merits of the Substantive Appeal issue decided in the June 2008 Board decision.",real_lex_simple
51,"In its papers in opposition to BDP’s motion for judgment, Deltech identifies the Stolt/BDP contract “whereby BDP contracted to perform freight-forwarding duties for Stolt” as the operative one, the breach as a failure to properly prepare the bill of lading, and asserts its position as a third-party beneficiary.","In its papers in opposition to BDP’s motion for judgment, Deltech says that BDP signed a contract to perform freight-forwarding duties for Stolt and identifies this Stolt/BDP contract as the operative one. Deltech also identified the violation as a failure to properly prepare the bill of lading, and states that it is a beneficiary outside of the contract.",real_lex_simple
52,Unclean hands “is a self-imposed ordinance that closes the doors of a court of equity to one tainted with inequitableness or bad faith relative to the matter in which he seeks relief’ and originates from “the equitable maxim that ‘he who comes into equity must come with clean hands.’ ” Precision Instrument Mfg.,"Unclean hands is a self-imposed principle that prevents someone involved in a matter from seeking relief in a court of equity if they have acted unfairly or in bad faith. This principle originates from the saying, ""he who comes into equity must come with clean hands.""",real_lex_simple
53,"First, in the Civil Remedy Notice filed with the State of Florida, Plaintiff alleged that the Defendant “has already been provided with sufficient information in order to warrant a tender of policy limits” and advised that she was “willing to accept the policy limits to settle the claim...” [DE 1-2 at 16].","First, in the Civil Remedy Notice filed with the State of Florida, Plaintiff alleged that the Defendant has already been provided with enough information to justify offering the maximum insurance coverage as a settlement. the Plaintiff also advised that she was willing to accept the policy limits to resolve the dispute. [DE 1-2 at 16].",real_lex_simple
54,"Plaintiff Laura J. Ramos alleged that her employer, the Federal Bureau of Investigation (“FBI”), discriminated against her on the basis of her race (Count I), subjected her to a hostile work environment (Count II), and retaliated against her after she filed an administrative complaint (Count III).","Plaintiff Laura J. Ramos alleged that her employer, the Federal Bureau of Investigation (“FBI”), discriminated against her on the basis of her race (Count I), subjected her to a hostile work environment (Count II), and acted in retaliation against her after she complained about this before the administrative authorities (Count III).",real_lex_simple
55,"For the reasons stated above, the Court WITHDRAWS its May 31, 2013, decision, DENIES Mrs. Tagupa’s motion for leave to submit supplemental evidence, SETS ASIDE the Board’s August 2, 2011, decision, and REMANDS the matter for VA to seek verification of service from the Department of the Army.","For the reasons stated above, the Court reverses its May 31, 2013, decision. The Court also rejects Mrs. Tagupa’s request to be permitted to submit additional evidence. It also revokes the Board’s August 2, 2011 decision, and send the matter back for VA to verify the service from the Department of the Army.",real_lex_simple
56,"It is clear, therefore, that upon receipt of a letter disputing the factual accuracy of information in a consumer’s file, Section 1681i imposes a duty on a CRA both to reinvestigate and to either delete the disputed information or disclose the current status of the disputed information to the person disputing the information.","It is clear, therefore, that upon receipt of a letter disputing the factual accuracy of information in a consumer’s file, Section 1681i imposes a duty on a CRA both to reinvestigate and to either delete the disputed information or disclose the current status of the disputed information to the person disputing the information.",real_lex_simple
57,"However, plaintiff chose not to pursue a “denial-of-benefits claim” under § 1132(a)(1)(B), presumably because of “the broad discretion that [defendant] enjoys in construing the terms of the Certificate, which in turn would necessitate a showing that its decision to deny [plaintiffj’s claim was arbitrary and capricious.”","However, plaintiff chose not to make a “denial-of-benefits claim” under Paragraph 1132(a)(1)(B). This is presumably because of the broad discretion that the defendant has in interpreting the terms of the Certificate. This discretion in turn would necessitate a showing that its decision to deny the plaintiff’s claim was arbitrary and careless.",real_lex_simple
58,"Where, as here, a prisoner “challeng[es] the very fact or duration of his physical imprisonment, and the relief he seeks is a determination that he is entitled to immediate release or a speedier release from that imprisonment, his sole federal remedy is a writ of habeas corpus.” Preiser v. Rodriguez, 411 U.S. 475, 500, 93 S.Ct.","Where, as here, a prisoner challenges the very fact or duration of his physical imprisonment, and he requests the determination that he should be released immediately or more speedily, his only federal solution is an order of bringing him before a court. (Preiser v. Rodriguez, 411 U.S. 475, 500, 93 S.Ct.)",real_lex_simple
59,"It is an unfair labor practice for a labor organization to, among other things, “interfere with, restrain, or coerce any employee in the exercise by the employee of any right under” the chapter of the CSRA related to union and labor rights, or “to otherwise fail or refuse to comply with any provision of this chapter.” 5 U.S.C.","It is an unfair labor practice for a labor organization to, among other things, interfere with, restrain, or force any employee while exercising any right under the Civil Service Reform Act chapter on union and labor rights or to otherwise fail or refuse to comply with any provision of this chapter. (U.S. Code: Title 5)",real_lex_simple
60,"The Court notes, however, that the clause authorizing the payment of attorney’s fees in Estate of Gaines is much broader than the clause contained in this case, which limits payment to “charges incurred in the administration of the Trust.” Restated Revocable Living Trust dated May 1, 2006, DN 27-6, p. 13.","The Court notes, however, that the clause giving authority to pay the attorney’s fees in Estate of Gaines is much broader than the clause in this case. The clause in this case limits the payment of attorney’s fees to “charges caused by the administration of the Trust.” Restated Revocable Living Trust dated May 1, 2006, DN 27-6, p. 13.",real_lex_simple
61,"Conversely, when the preponderance of the evidence weighs against the claim, “[the Board] necessarily has determined that the evidence is not ‘nearly equal’ or ‘too close to call,’ and the benefit of the doubt rule therefore has no application.” Ortiz v. Principi 274 F.3d 1361, 1365 (Fed.Cir.2001).","Conversely, when the majority of the evidence weighs against the claim, “[the Board] necessarily has determined that the evidence is not ‘nearly equal’ or ‘too close to call,’ and the benefit of the doubt rule therefore has no application.” Ortiz v. Principi 274 F.3d 1361, 1365 (Fed.Cir.2001).",real_lex_simple
62,"Broad prophylactic prohibitions that fail to ‘respond precisely to the substantive problem which legitimately concerns’ the State cannot withstand intermediate scrutiny.” 838 F.3d at 73 (quoting Members of City Council of City of L.A. v. Taxpayers for Vincent, 466 U.S. 789, 810, 104 S.Ct.","Broad preventive bans that fail to ‘respond exactly to the substantive problem which lawfully concerns’ the State cannot resist intermediate examination.” 838 F.3d at 73 (quoting Members of City Council of City of L.A. v. Taxpayers for Vincent, 466 U.S. 789, 810, 104 S.Ct.",real_lex_simple
63,"The emphasized clause is referred to as the “residual clause,” and in Johnson 2015 the Supreme Court held that the residual clause “denies fair notice to defendants and invites arbitrary enforcement by judges,” and, therefore, violates the due process clause of the Constitution.","The underlined provision is referred to as the “disclosure-allowing provision” and in Johnson 2015 the Supreme Court decided that the provision “rejects reasonable warning to respondents and invites subjective application by judges,” and, therefore, violates the legal requirements provision of the Constitution.",real_lex_simple
64,"Sony attached the images with its message “User’s current photo downloads included the following: .... ” Without use of a filter like a hash value system, no one at Sony could have known about Susan_14’s photos unless someone actually had “use[d] human eyes” to review them.","Sony attached the images with its message ""User's current photo downloads included the following:..."" It is only possible that a natural person can know about Susan_214's photos with a use of a filter like hash value system.",real_lex_simple
65,"The court saw “no way for the government to obtain a meaningful share in an entireties property without forfeiting some part of the innocent spouse’s interest, as long as the spouses remain married to each other and do nothing to terminate the entireties estate.”","The court saw “no way for the government to obtain a meaningful share in a whole property without losing the right to have some part of the innocent spouse’s interest, as long as the spouses remain married to each other and do nothing to end the whole property.”",real_lex_simple
66,"The bankruptcy court granted summary judgment in favor of NBI, holding that White was estopped from re-litigating whether he committed fraud against NBI, and on November 9, 2011, entered judgment in favor of NBI and against White in the amount of $378,486.17.","The bankruptcy court decided in favor of NBI without full a full trial on November 9, 2011. White can no longer sue NBI before the courts whether he committed fraud against NBI. White is sentenced to damages in the amount of $378,486.17.",real_lex_simple
67,"However, the DOC admits that it is unfamiliar with the billing practices of most Minnesota shops and reached this conclusion primarily based on representations from Reid, Rosar, Schmultz, and a few others affiliated with Minnesota’s auto-glass industry.","However, the DOC accepts that it is unfamiliar with the billing practices of most Minnesota shops. The DOC reached this conclusion from statements from Reid, Rosar, Schmultz, and a few others associated with Minnesota’s auto-glass industry.",real_lex_simple
68,"Accordingly, to be entitled to equitable tolling, Ms. Cheeo must have exercised due diligence between July 6, 2011 — the date of the Board decision — and October 6, 2011 — the date on which the Board decision was resent to her at her new address.","Accordingly, Ms. Cheeo could have been granted an extension of deadline to submit her claim if she had been careful enough to avoid liability between July 6, 2011 — the date of the Board decision — and October 6, 2011 — the date on which the Board decision was resent to her at her new address.",real_lex_simple
69,"Over the course of almost one year, [the Plaintiff] did receive[] $108,500.00, possibly from the $424,233.00 which is unaccounted for; however, it is unclear whether the $108,500.00 came from one of the Trust Enterprise accounts, Defendant Birch’s IOLTA account, or an unknown account.”","Over a year, the Plaintiff received $108,500.00 from the $424,233.00, which is missing. However, it is unclear whether the $108,500.00 came from one of the Trust Enterprise accounts, Defendant Birch’s IOLTA account, or an unknown account.”",real_lex_simple
